role,video_id,scenario,method,horizon_ms,source_count,reference_count,reference_without_output,penalized_rmse,penalized_p95_frame_rmse,conditional_output_rmse,output_count,prediction_count,fallback_count,no_output_count,deadline_miss_count,output_coverage,prediction_coverage,on_time_prediction_rate_all_sources,reasons,remaining_lookahead_p05_ms,candidate_ready_latency_p50_ms,candidate_ready_latency_p95_ms,candidate_ready_latency_max_ms,prediction_queue_p95_ms,per_channel_jump_p95,per_channel_jump_max,reference_transition_count,matched_transitions,missed_transitions,unmatched_prediction_transitions,transition_lag_median_ms,transition_abs_lag_p95_ms
development_validation,V1,nominal,linear_pose_w4,50,300,298,0,0.01166300545806922,0.009119041286361413,0.01166300545806922,300,295,5,0,1,1.0,0.9833333333333333,0.9833333333333333,"{""history_warmup"": 4, ""deadline_miss"": 1}",14.779454999188602,33.24885000074573,35.2205450008114,55.61849999867263,0.0,"[0.015454364433656784, 0.012629294192352642, 0.020304911299744505, 0.01838277822098497, 0.01907479364000696, 0.01746029472139401, 0.015809704031780003, 0.012418196006972101, 0.0033491761496353993]","[0.20713751820872883, 0.18557130100818786, 0.23770873914467586, 0.2615351306651064, 0.23224393702264468, 0.25804722670780933, 0.27623668917761124, 0.30220570472951014, 0.05042970759425314]",2,2,0,1,15.983333333333576,30.368333333333794
development_validation,V1,nominal,linear_pose_w4,100,300,296,0,0.03313148046325254,0.02377456329028151,0.03313148046325254,300,296,4,0,0,1.0,0.9866666666666667,0.9866666666666667,"{""history_warmup"": 4}",64.7794549991886,33.24885000074573,35.2205450008114,55.61849999867263,0.0,"[0.02387913979892389, 0.016385610836700624, 0.030579935434313147, 0.029507064760617555, 0.02744017897870568, 0.026036114000949132, 0.028475410501414274, 0.026242495790555966, 0.005009407465082788]","[0.17130870046654667, 0.14824925592816557, 0.20867673990589686, 0.23288479181841545, 0.20468465779696876, 0.2308305338451305, 0.23007693114701389, 0.2492242892988677, 0.042116513406903616]",2,2,0,4,32.65000000000009,62.03500000000017
development_validation,V1,nominal,linear_pose_w4,150,300,295,0,0.04515367951234687,0.042697249920704734,0.04515367951234687,300,296,4,0,0,1.0,0.9866666666666667,0.9866666666666667,"{""history_warmup"": 4}",114.7794549991886,33.24885000074573,35.2205450008114,55.61849999867263,0.0,"[0.027148285421318304, 0.020044813821583553, 0.0478883808550321, 0.04989669443988266, 0.03890179486405581, 0.04116137509178482, 0.03324447107175212, 0.03180699220508831, 0.0056422836046713925]","[0.1563161336113802, 0.13078145649629186, 0.1973534083960269, 0.22206088658672465, 0.219370509564909, 0.24318883594799917, 0.3309999702013518, 0.22619312738019254, 0.038782986505821904]",2,2,0,6,55.90000000000009,106.21000000000016
development_validation,V1,nominal,linear_pose_w8,50,300,298,0,0.013241846772991039,0.014129609768908803,0.013241846772991039,300,293,7,0,1,1.0,0.9766666666666667,0.9766666666666667,"{""history_warmup"": 6, ""deadline_miss"": 1}",14.961319999747502,33.27829999943788,35.0386800002525,56.08899999788264,0.0,"[0.015428008156924819, 0.013964943267356268, 0.021707508279791843, 0.019116318624219544, 0.017072027647403464, 0.017422285504323804, 0.01932714090535917, 0.013440438627939639, 0.0037239848712950136]","[0.1613515698303441, 0.14585148503578235, 0.17494710471948555, 0.18984180080263463, 0.17171388349803685, 0.18767017049810253, 0.2221282376385075, 0.23860304400400034, 0.039180768179262276]",2,2,0,5,15.983333333333576,30.368333333333794
development_validation,V1,nominal,linear_pose_w8,100,300,296,0,0.035369879910027185,0.030772624908522322,0.035369879910027185,300,294,6,0,0,1.0,0.98,0.98,"{""history_warmup"": 6}",64.9613199997475,33.27829999943788,35.0386800002525,56.08899999788264,0.0,"[0.017390160042484535, 0.013078062746852784, 0.03612342540058646, 0.03792057718361148, 0.02305740778631743, 0.02482617709414797, 0.02077115478364982, 0.013980240771705085, 0.0040288744543566565]","[0.16528318167298645, 0.15054242960887007, 0.1976286447067761, 0.2197759652820809, 0.1907326317699949, 0.21422219577855578, 0.22366907514810447, 0.23822836945157266, 0.04027328234267463]",2,2,0,2,-87.29999999999995,165.8699999999999
development_validation,V1,nominal,linear_pose_w8,150,300,295,0,0.043429938677922775,0.06263388486102581,0.043429938677922775,300,294,6,0,0,1.0,0.98,0.98,"{""history_warmup"": 6}",114.9613199997475,33.27829999943788,35.0386800002525,56.08899999788264,0.0,"[0.01761348763085331, 0.011998407100495139, 0.0412542984710538, 0.04073282212850548, 0.026108907953363594, 0.027729952109903273, 0.020904888884502936, 0.015594608703259403, 0.003793616900261179]","[0.1806514776668259, 0.16555597925666407, 0.1803633165013559, 0.20195606331860913, 0.17398470737752042, 0.19665761596773124, 0.19923057744049583, 0.23756731506152046, 0.0436901906988737]",2,2,0,2,-80.04999999999995,152.0949999999999
development_validation,V1,jitter_drop,hold_channels,50,300,298,20,0.2594678733270469,1.0,0.014985128368876402,280,280,0,20,3,0.9333333333333333,0.9333333333333333,0.9333333333333333,"{""deadline_miss"": 3, ""source_drop"": 17}",8.83717999975488,29.8445999994874,41.16282000024512,62.093299998668954,0.0,"[0.012197015040276376, 0.008298348771514651, 0.01794972504357982, 0.01639025733323054, 0.014671175906075824, 0.01467987264263474, 0.013743891963397379, 0.0093550217536515, 0.0024664676258484473]","[0.15125955320850942, 0.13793454011473216, 0.15348524607305036, 0.1636005195403632, 0.153005392193234, 0.16404198794613922, 0.20410612473693704, 0.22650393191108137, 0.03663558217406318]",2,2,0,16,32.0,32.02999999999956
development_validation,V1,jitter_drop,hold_channels,100,300,296,17,0.24175552972549263,1.0,0.03278789778287484,283,283,0,17,0,0.9433333333333334,0.9433333333333334,0.9433333333333334,"{""source_drop"": 17}",58.83717999975488,29.8445999994874,41.16282000024512,62.093299998668954,0.0,"[0.012130747868030874, 0.008171178505306154, 0.017795391896785428, 0.016289183396058737, 0.014611643665563853, 0.014481003576861069, 0.01356113601188794, 0.009221237810974222, 0.002393987766330847]","[0.15125955320850942, 0.13793454011473216, 0.15348524607305036, 0.1636005195403632, 0.153005392193234, 0.16404198794613922, 0.20410612473693704, 0.22650393191108137, 0.03663558217406318]",2,2,0,16,80.6833333333334,94.52833333333328
development_validation,V1,jitter_drop,hold_channels,150,300,295,17,0.24320612405876346,1.0,0.04018927968334381,283,283,0,17,0,0.9433333333333334,0.9433333333333334,0.9433333333333334,"{""source_drop"": 17}",108.83717999975488,29.8445999994874,41.16282000024512,62.093299998668954,0.0,"[0.012130747868030874, 0.008171178505306154, 0.017795391896785428, 0.016289183396058737, 0.014611643665563853, 0.014481003576861069, 0.01356113601188794, 0.009221237810974222, 0.002393987766330847]","[0.15125955320850942, 0.13793454011473216, 0.15348524607305036, 0.1636005195403632, 0.153005392193234, 0.16404198794613922, 0.20410612473693704, 0.22650393191108137, 0.03663558217406318]",2,2,0,16,119.95000000000027,127.28500000000035
development_validation,V1,jitter_drop,hold_pose,50,300,298,20,0.2594678733270469,1.0,0.014985128368876402,280,207,73,20,76,0.9333333333333333,0.69,0.69,"{""deadline_miss"": 76, ""source_drop"": 17}",-4.211900000445894,42.57170000142651,54.21190000044589,74.7575999989931,0.0,"[0.012197015040276376, 0.008298348771514651, 0.01794972504357982, 0.01639025733323054, 0.014671175906075824, 0.01467987264263474, 0.013743891963397379, 0.0093550217536515, 0.0024664676258484473]","[0.15125955320850942, 0.13793454011473216, 0.15348524607305036, 0.1636005195403632, 0.153005392193234, 0.16404198794613922, 0.20410612473693704, 0.22650393191108137, 0.03663558217406318]",2,1,1,6,31.96666666666715,31.96666666666715
development_validation,V1,jitter_drop,hold_pose,100,300,296,17,0.24175552972549263,1.0,0.03278789778287484,283,283,0,17,0,0.9433333333333334,0.9433333333333334,0.9433333333333334,"{""source_drop"": 17}",45.788099999554106,42.57170000142651,54.21190000044589,74.7575999989931,0.0,"[0.012130747868030874, 0.008171178505306154, 0.017795391896785428, 0.016289183396058737, 0.014611643665563853, 0.014481003576861069, 0.01356113601188794, 0.009221237810974222, 0.002393987766330847]","[0.15125955320850942, 0.13793454011473216, 0.15348524607305036, 0.1636005195403632, 0.153005392193234, 0.16404198794613922, 0.20410612473693704, 0.22650393191108137, 0.03663558217406318]",2,1,1,0,65.30000000000018,65.30000000000018
development_validation,V1,jitter_drop,hold_pose,150,300,295,17,0.24320612405876346,1.0,0.04018927968334381,283,283,0,17,0,0.9433333333333334,0.9433333333333334,0.9433333333333334,"{""source_drop"": 17}",95.7880999995541,42.57170000142651,54.21190000044589,74.7575999989931,0.0,"[0.012130747868030874, 0.008171178505306154, 0.017795391896785428, 0.016289183396058737, 0.014611643665563853, 0.014481003576861069, 0.01356113601188794, 0.009221237810974222, 0.002393987766330847]","[0.15125955320850942, 0.13793454011473216, 0.15348524607305036, 0.1636005195403632, 0.153005392193234, 0.16404198794613922, 0.20410612473693704, 0.22650393191108137, 0.03663558217406318]",2,1,1,0,111.80000000000018,111.80000000000018
development_validation,V1,jitter_drop,linear_pose_w2,50,300,298,20,0.2592818895051411,1.0,0.011006092354100149,280,183,97,20,67,0.9333333333333333,0.61,0.61,"{""history_warmup"": 33, ""deadline_miss"": 67, ""source_drop"": 17}",-3.878169998934027,42.050066667682586,53.87816999893403,74.68699999983073,0.0,"[0.027511097153482482, 0.0220669436532325, 0.03932921932404408, 0.032709752715050944, 0.03193668444586061, 0.029222481779097358, 0.024675617793423713, 0.01192575515751084, 0.005884518307528668]","[0.16909582386561994, 0.14859878244041042, 0.19910132529378344, 0.22272195685002733, 0.20498146256114005, 0.23139005708085714, 0.22661734306339526, 0.24672566646894373, 0.04139486376643678]",2,2,0,17,32.0,32.02999999999956
development_validation,V1,jitter_drop,linear_pose_w2,100,300,296,17,0.24153001680467556,1.0,0.030974478408039956,283,250,33,17,0,0.9433333333333334,0.8333333333333334,0.8333333333333334,"{""history_warmup"": 33, ""source_drop"": 17}",46.12183000106597,42.050066667682586,53.87816999893403,74.68699999983073,0.0,"[0.03599560057139775, 0.033530999394883555, 0.07447606253643158, 0.06325584876109581, 0.08160581135309003, 0.07730399909149703, 0.050079943576546326, 0.03471561911728337, 0.009175831927055763]","[0.25310053811197797, 0.23101378998521432, 0.28719037623070276, 0.29228758237928987, 0.4837026568231256, 0.48284761795908127, 0.40952822063224736, 0.3634781511243622, 0.06128536176178018]",2,2,0,24,-23.25,44.175
